machines;jobs;heuristic_time;total_time;gap;nbeb;opt;ub
3;30;11;14;0;0;249957;666499
5;50;39;40;0;0;54560;249185
3;20;5;5;0;0;117851;300628
3;40;20;21;0;0;56937;161182
4;50;34;35;0;0;66554;241924
3;40;21;24;0;0;408855;1124541
5;40;24;26;0;0;265104;1118329
4;20;5;5;0;0;12218;41457
5;40;24;24;0;0;33912;144003
5;40;24;28;0;0;210772;880090
5;40;24;28;0;0;331760;1403877
4;40;22;24;0;0;277889;968181
3;50;16;18;0;0;89592;256578
3;40;10;15;0;0;520486;1439188
4;50;17;18;0;0;68197;254880
4;20;2;3;0;0;115008;361751
3;30;5;6;0;0;28227;75929
3;30;6;7;0;0;237257;635152
4;50;17;18;0;0;52359;188842
5;20;2;3;0;0;71589;248713
5;30;6;8;0;0;166607;662037
3;50;17;18;0;0;91251;256680
4;50;17;21;0;0;485719;1744483
3;30;6;7;0;0;155567;406821
4;40;11;12;0;0;44862;165149
5;40;11;12;0;0;40614;175241
5;50;18;20;0;0;51692;236041
5;20;2;3;0;1;9832;39703
3;30;5;7;0;0;300183;806182
3;30;5;7;0;0;212317;561928
4;30;6;6;0;0;23903;81861
5;50;19;20;0;0;45805;200359
4;50;18;23;0;0;412964;1477999
4;50;18;19;0;0;52449;189118
5;20;3;3;0;0;10984;41141
3;50;17;18;0;0;95337;268480
4;50;19;20;0;0;64411;234565
4;30;13;13;0;0;23794;85061
4;50;35;36;0;0;64649;241071
3;20;4;5;0;0;13004;34835
3;20;5;5;0;0;104425;266367
5;50;37;38;0;0;54484;239090
3;20;5;5;0;0;19505;50699
3;40;20;21;0;0;53112;150333
3;50;32;34;0;0;80407;230238
5;40;24;24;0;0;28513;120582
4;30;12;12;0;0;13755;46496
5;30;13;25;0;3;21192;91607
4;20;5;5;0;0;9628;30494
3;20;5;6;0;0;14733;39696
3;20;5;8;0;1;15880;42719
3;50;36;38;0;0;87009;249409
4;20;5;6;0;0;71325;212661
5;30;13;13;0;0;19480;79279
3;20;5;5;0;0;102736;259961
3;40;21;22;0;0;53822;152429
5;20;6;8;2.0;1;80678;283045
4;40;22;23;0;0;43247;158890
5;50;37;46;0;0;366328;1585906
3;20;5;5;0;0;16094;41831
3;40;20;21;0;0;70989;198068
4;50;35;35;0;0;67878;247638
4;40;21;22;0;0;48979;174133
5;50;37;42;0;0;341398;1474543
4;40;23;25;0;0;43762;160689
5;40;24;25;0;0;33384;142295
3;50;32;38;0;0;632008;1763072
3;30;11;13;0;0;222809;593431
4;20;5;6;0;0;142192;458853
3;50;33;40;0;0;721084;2020252
4;40;23;23;0;0;43865;161292
5;50;37;42;0;0;424849;1841206
3;40;21;21;0;0;60567;168569
4;40;11;12;0;0;42480;155936
5;50;20;20;0;0;64040;283709
3;40;12;19;0;0;366304;993866
5;20;3;3;0;0;62843;231197
4;50;21;22;0;0;64428;240682
4;20;3;3;0;0;94457;303174
4;40;14;18;0;0;398131;1408233
4;50;18;19;0;0;61228;228901
3;20;2;2;0;0;13601;36505
5;50;19;20;0;0;54027;246250
3;30;6;6;0;0;26165;70370
3;30;6;7;0;0;131397;343526
5;30;6;8;15.875;1;162949;651099
4;30;6;7;0;0;206930;707263
3;20;2;3;0;0;78726;199906
5;20;2;3;0;0;11402;46074
4;20;2;3;0;0;12643;42988
5;50;18;22;0;0;443367;1929013
4;30;6;7;0;0;23955;85590
5;30;6;6;0;0;20211;87062
